-0.104251,-0.0748332,3.13708e-05,0,-0.0151014,-0.104248,-0.100417
-0.104251,-0.0733,3.28587e-05,-2.66652e-07,-0.015079,-0.104243,-0.100251
-0.104251,-0.0726581,3.33769e-05,-9.07459e-07,-0.0150723,-0.104237,-0.100013
-0.104251,-0.0724239,3.34425e-05,-1.5693e-06,-0.0150761,-0.10423,-0.0999246
-0.104251,-0.0724779,3.31848e-05,-2.23742e-06,-0.015069,-0.104224,-0.0999445
-0.104251,-0.0728555,3.2568e-05,-2.90396e-06,-0.0150677,-0.104217,-0.100089
-0.104251,-0.0733165,3.18494e-05,-3.5621e-06,-0.0150662,-0.10421,-0.100261
-0.104251,-0.0737478,3.11503e-05,-4.20699e-06,-0.0150704,-0.104203,-0.10042
-0.104251,-0.0742547,3.03597e-05,-4.83769e-06,-0.0150499,-0.104196,-0.10061
-0.104251,-0.0749367,2.93732e-05,-5.45358e-06,-0.0150801,-0.104188,-0.100868
-0.104251,-0.0757909,2.81957e-05,-6.0519e-06,-0.0150893,-0.10418,-0.101191
-0.104251,-0.0770217,2.66116e-05,-6.62876e-06,-0.015088,-0.104172,-0.101662
-0.104251,-0.078527,2.47323e-05,-7.17842e-06,-0.0150863,-0.104163,-0.102236
-0.104251,-0.08005,2.28329e-05,-7.69374e-06,-0.0150841,-0.104153,-0.102813
-0.104251,-0.0817972,2.06954e-05,-8.17129e-06,-0.0150363,-0.104144,-0.10348
-0.104251,-0.0838547,1.82308e-05,-8.60871e-06,-0.0149269,-0.104134,-0.104267
-0.104251,-0.0861489,1.55202e-05,-9.00043e-06,-0.0147968,-0.104125,-0.105144
-0.104251,-0.0888362,1.24e-05,-9.34066e-06,-0.0148301,-0.104114,-0.106173
-0.104251,-0.0916151,9.19371e-06,-9.62298e-06,-0.0148326,-0.104104,-0.107232
-0.104251,-0.095161,5.18647e-06,-9.84212e-06,-0.0148855,-0.104093,-0.108595
-0.104251,-0.0986657,1.24165e-06,-9.98993e-06,-0.0148824,-0.104081,-0.109929
-0.104251,-0.102403,-2.92998e-06,-1.00582e-05,-0.0148382,-0.104069,-0.111357
-0.104251,-0.106882,-7.86439e-06,-1.00454e-05,-0.0147537,-0.104056,-0.113075
-0.104251,-0.110522,-1.18796e-05,-9.94244e-06,-0.0147096,-0.104042,-0.114446
-0.104251,-0.113828,-1.55127e-05,-9.74901e-06,-0.0146809,-0.104027,-0.115696
-0.104251,-0.11725,-1.92412e-05,-9.47872e-06,-0.0145705,-0.104011,-0.116996
-0.104251,-0.119694,-2.19024e-05,-9.13491e-06,-0.0146087,-0.103994,-0.117902
-0.104251,-0.121758,-2.41335e-05,-8.72613e-06,-0.0147799,-0.103975,-0.11867
-0.104251,-0.122996,-2.54617e-05,-8.26801e-06,-0.0146467,-0.103955,-0.119111
-0.104251,-0.123096,-2.55619e-05,-7.77338e-06,-0.0147421,-0.103933,-0.119107
-0.104251,-0.122773,-2.51979e-05,-7.26325e-06,-0.0145835,-0.103908,-0.11895
-0.104251,-0.121219,-2.35149e-05,-6.75528e-06,-0.0148385,-0.103881,-0.118305
-0.104251,-0.119125,-2.12559e-05,-6.26647e-06,-0.0146043,-0.103851,-0.117461
-0.104251,-0.116126,-1.80374e-05,-5.81651e-06,-0.0147364,-0.103819,-0.116262
-0.104251,-0.112734,-1.44097e-05,-5.42035e-06,-0.0147423,-0.103783,-0.114916
-0.104251,-0.109311,-1.07644e-05,-5.09226e-06,-0.0145178,-0.103745,-0.113562
-0.104251,-0.10531,-6.52263e-06,-4.83687e-06,-0.0147863,-0.103704,-0.111975
-0.104251,-0.10174,-2.76324e-06,-4.65976e-06,-0.0147457,-0.103659,-0.110565
-0.104251,-0.0987815,3.22248e-07,-4.56314e-06,-0.0146229,-0.10361,-0.10939
-0.104251,-0.0962552,2.9227e-06,-4.53565e-06,-0.0145966,-0.103558,-0.108374
-0.104251,-0.0944987,4.67936e-06,-4.56549e-06,-0.0146008,-0.103502,-0.107655
-0.104251,-0.0933244,5.7926e-06,-4.63976e-06,-0.0146049,-0.103442,-0.107152
-0.104251,-0.0931364,5.83447e-06,-4.74337e-06,-0.0146088,-0.103376,-0.10703
-0.104251,-0.0937586,4.99509e-06,-4.85959e-06,-0.0146576,-0.103306,-0.107211
-0.104251,-0.0950474,3.43002e-06,-4.96873e-06,-0.0147224,-0.103231,-0.107641
-0.104251,-0.0969024,1.24875e-06,-5.05455e-06,-0.0148787,-0.10315,-0.108281
-0.104251,-0.0994752,-1.70678e-06,-5.10351e-06,-0.0148474,-0.103063,-0.109192
-0.104251,-0.102622,-5.28018e-06,-5.10189e-06,-0.0148419,-0.102969,-0.110316
-0.104251,-0.105616,-8.69586e-06,-5.03559e-06,-0.0148318,-0.102868,-0.111362
-0.104251,-0.108304,-1.17909e-05,-4.89925e-06,-0.0148374,-0.102759,-0.112281
-0.104251,-0.110535,-1.44053e-05,-4.69748e-06,-0.0148634,-0.102642,-0.113014
-0.104251,-0.112337,-1.65688e-05,-4.43813e-06,-0.0148183,-0.102516,-0.113573
-0.104251,-0.11367,-1.82414e-05,-4.13055e-06,-0.0146861,-0.102381,-0.113942
-0.104251,-0.114233,-1.91038e-05,-3.78412e-06,-0.014584,-0.102235,-0.114001
-0.104251,-0.114492,-1.96557e-05,-3.41153e-06,-0.0145985,-0.102078,-0.11394
-0.104251,-0.114393,-1.98399e-05,-3.02449e-06,-0.0145883,-0.101909,-0.113728
-0.104251,-0.113933,-1.96578e-05,-2.62972e-06,-0.0145833,-0.101727,-0.113366
-0.104251,-0.11318,-1.91816e-05,-2.23456e-06,-0.0145838,-0.101531,-0.112879
-0.104251,-0.112145,-1.84254e-05,-1.84569e-06,-0.0145994,-0.10132,-0.112268
-0.104251,-0.110967,-1.75377e-05,-1.46886e-06,-0.014625,-0.101092,-0.111587
-0.104251,-0.109754,-1.66349e-05,-1.10834e-06,-0.0146243,-0.100847,-0.110878
-0.104251,-0.108652,-1.5873e-05,-7.65712e-07,-0.0146128,-0.100582,-0.110194
-0.104251,-0.107639,-1.5231e-05,-4.39871e-07,-0.0145972,-0.100296,-0.109526
-0.104251,-0.106863,-1.48649e-05,-1.28189e-07,-0.0146221,-0.0999875,-0.108929
-0.104251,-0.106611,-1.50781e-05,1.73136e-07,-0.0145913,-0.0996552,-0.108514
-0.104251,-0.106318,-1.52701e-05,4.72353e-07,-0.0147178,-0.0992971,-0.108049
-0.104251,-0.106582,-1.60749e-05,7.75643e-07,-0.0145955,-0.0989114,-0.10778
-0.104251,-0.106733,-1.6777e-05,1.08829e-06,-0.0144879,-0.0984958,-0.107426
-0.104251,-0.106797,-1.74026e-05,1.41611e-06,-0.0147726,-0.0980482,-0.107005
-0.104251,-0.107082,-1.82799e-05,1.75728e-06,-0.0146606,-0.0975661,-0.106638
-0.104251,-0.107531,-1.93432e-05,2.11322e-06,-0.0145635,-0.0970469,-0.10629
-0.104251,-0.108093,-2.05382e-05,2.48839e-06,-0.0146398,-0.0964877,-0.105941
-0.104251,-0.108774,-2.18664e-05,2.88601e-06,-0.0146909,-0.0958854,-0.105586
-0.104251,-0.109726,-2.34877e-05,3.30873e-06,-0.0146701,-0.0952368,-0.105283
-0.104251,-0.111108,-2.55669e-05,3.76065e-06,-0.0145274,-0.0945387,-0.105088
-0.104251,-0.112012,-2.71352e-05,4.24911e-06,-0.0146845,-0.0937872,-0.104628
-0.104251,-0.11292,-2.87026e-05,4.77457e-06,-0.0146491,-0.0929783,-0.104103
-0.104251,-0.113888,-3.03263e-05,5.33138e-06,-0.0145628,-0.0921075,-0.10352
-0.104251,-0.114624,-3.16928e-05,5.92004e-06,-0.0147911,-0.0911699,-0.102756
-0.104251,-0.115506,-3.32009e-05,6.53887e-06,-0.0146135,-0.0901601,-0.101958
-0.104251,-0.116096,-3.43828e-05,7.1863e-06,-0.0146746,-0.0890725,-0.100938
-0.104251,-0.117458,-3.63663e-05,7.86095e-06,-0.0144466,-0.0879009,-0.100123
-0.104251,-0.118306,-3.77806e-05,8.56646e-06,-0.0147208,-0.0866389,-0.0989765
-0.104251,-0.119965,-4.00308e-05,9.30652e-06,-0.0144615,-0.0852794,-0.0980433
-0.104251,-0.121166,-4.17632e-05,1.00824e-05,-0.0145673,-0.0838146,-0.0967941
-0.104251,-0.122318,-4.34124e-05,1.08986e-05,-0.014536,-0.0822365,-0.0954123
-0.104251,-0.123797,-4.53741e-05,1.17487e-05,-0.0143936,-0.0805363,-0.0940447
-0.104251,-0.124574,-4.65522e-05,1.26346e-05,-0.0144645,-0.0787044,-0.0922819
-0.104251,-0.125301,-4.76373e-05,1.35527e-05,-0.0144551,-0.0767306,-0.0904104
-0.104251,-0.126191,-4.88558e-05,1.44935e-05,-0.0144244,-0.0746039,-0.0885226
-0.104251,-0.127072,-5.00181e-05,1.54572e-05,-0.0145051,-0.0723125,-0.0865671
-0.104251,-0.128108,-5.12981e-05,1.64448e-05,-0.0145543,-0.0698435,-0.0846409
-0.104251,-0.128177,-5.14971e-05,1.74567e-05,-0.0145125,-0.0671833,-0.0823257
-0.104251,-0.127635,-5.0995e-05,1.84844e-05,-0.0145312,-0.0643169,-0.0798209
-0.104251,-0.126468,-4.97714e-05,1.95098e-05,-0.0145404,-0.0612287,-0.0771595
-0.104251,-0.124491,-4.76268e-05,2.05187e-05,-0.0144737,-0.0579017,-0.0743161
-0.104251,-0.121472,-4.43147e-05,2.14949e-05,-0.014594,-0.054319,-0.07125
-0.104251,-0.117715,-4.01606e-05,2.24176e-05,-0.0144807,-0.050467,-0.0681339
-0.104251,-0.11268,-3.45934e-05,2.32665e-05,-0.0144893,-0.0463476,-0.0647904
-0.104251,-0.106863,-2.81439e-05,2.40196e-05,-0.0143821,-0.0420284,-0.0614587
-0.0906981,-0.0997071,-1.33937e-05,2.46534e-05,-0.0142787,-0.0378301,-0.0579309
