0 0 0
 2.78088e-17  1.00901e-16 -2.34323e-17
  -0.0385985 -0.000247291      9.27977
  -0.0386451 -0.000247001       9.2806
  -0.0386852 -0.000246713      9.28165
  -0.0387187 -0.000246333      9.28294
 -0.0387459 -0.00024596     9.28444
  -0.0387667 -0.000245576      9.28615
  -0.0387814 -0.000245089      9.28807
    -0.03879 -0.000244569       9.2902
  -0.0387925 -0.000244084      9.29253
  -0.0387891 -0.000243551      9.29505
  -0.0387799 -0.000242998      9.29777
  -0.0387649 -0.000242342      9.30066
  -0.0387441 -0.000241722      9.30374
  -0.0387177 -0.000241073      9.30699
  -0.0386857 -0.000240378      9.31041
  -0.0386481 -0.000239703      9.31399
  -0.0386049 -0.000238978      9.31773
 -0.0385565 -0.00023823     9.32162
  -0.0385026 -0.000237469      9.32566
  -0.0384433 -0.000236695      9.32984
  -0.0383787 -0.000235884      9.33415
  -0.0383088 -0.000235051       9.3386
  -0.0382336 -0.000234228      9.34317
  -0.0381497 -0.000232264      9.34787
  -0.0380453 -0.000229609      9.35273
 -0.0379204 -0.00022701     9.35774
 -0.0377768 -0.00022437      9.3629
  -0.0376157 -0.000221758      9.36818
  -0.0374385 -0.000219151      9.37358
  -0.0372463 -0.000216564       9.3791
  -0.0370403 -0.000213922      9.38472
  -0.0368216 -0.000211356      9.39043
  -0.0365913 -0.000208794      9.39622
 -0.0363503 -0.00020621     9.40209
 -0.0378847 -0.00019369     9.40865
  -0.0375096 -0.000192023      9.41462
  -0.0371317 -0.000190403      9.42065
  -0.0367516 -0.000188733      9.42672
 -0.0363745 -0.00018693     9.43285
  -0.0360049 -0.000185186      9.43903
  -0.0356423 -0.000183448      9.44526
  -0.0352863 -0.000181689      9.45152
  -0.0349365 -0.000179942      9.45782
  -0.0345927 -0.000178238      9.46414
 -0.0342545 -0.00017655     9.47047
  -0.0339215 -0.000174856      9.47681
  -0.0335935 -0.000173249      9.48315
  -0.0332703 -0.000171619      9.48948
    -0.03475 -0.000155065      9.49643
  -0.0343152 -0.000154626      9.50271
  -0.0338902 -0.000154152      9.50897
 -0.0334742 -0.00015364     9.51521
  -0.0330671 -0.000153128      9.52141
  -0.0326681 -0.000152594      9.52758
  -0.0322768 -0.000152035       9.5337
  -0.0318929 -0.000151441      9.53979
   -0.031516 -0.000150832      9.54583
  -0.0311453 -0.000150267      9.55182
 -0.0307808 -0.00014963     9.55775
  -0.0304219 -0.000149024      9.56363
  -0.0300685 -0.000148393      9.56945
  -0.0315064 -0.000127726      9.57584
  -0.0310411 -0.000128497      9.58151
  -0.0305861 -0.000129164      9.58711
  -0.0301409 -0.000129786      9.59265
   -0.029705 -0.000130319      9.59813
  -0.0292777 -0.000130842      9.60353
  -0.0288588 -0.000131309      9.60886
  -0.0284475 -0.000131696      9.61412
  -0.0280435 -0.000132022       9.6193
  -0.0276462 -0.000132311      9.62441
  -0.0272555 -0.000132529      9.62944
  -0.0286628 -0.000107328      9.63503
    -0.02816 -0.000109155      9.63989
  -0.0276686 -0.000110918      9.64466
  -0.0271881 -0.000112557      9.64936
  -0.0267176 -0.000114082      9.65398
  -0.0262568 -0.000115449      9.65853
   -0.025805 -0.000116796      9.66299
  -0.0253617 -0.000118045      9.66738
