-8.7501,-1.3841,229.353,-0.47571,2.47745,-0.00136
-8.7363,-1.4384,229.443,-0.47805,2.47098,-0.00253
-8.7442,-1.3372,229.382,-0.47369,2.47108,-0.00383
-8.7622,-1.365,229.39,-0.47634,2.47486,-0.00335
-8.7677,-1.3169,229.457,-0.47254,2.47074,-0.00404
-8.7392,-1.4097,229.475,-0.4811,2.46483,-0.00366
-8.8071,-1.2303,229.363,-0.47193,2.47478,-0.00347
-8.7674,-1.2405,229.439,-0.47142,2.46743,-0.00498
-8.7555,-1.3033,229.538,-0.472,2.46327,-0.00519
-8.761,-1.3388,229.344,-0.47959,2.46993,-0.00099
-8.7251,-1.4883,229.448,-0.48834,2.46761,-0.00055
-8.7839,-1.507,229.337,-0.48801,2.47289,0.00081
-8.7255,-1.3964,229.379,-0.47685,2.47318,-0.00073
-8.8741,-1.1904,229.313,-0.47424,2.48937,-0.00038
-8.7899,-1.2616,229.36,-0.47161,2.47944,-0.00099
-8.7901,-1.2614,229.475,-0.47318,2.48,-0.00166
-8.7423,-1.2263,229.341,-0.47097,2.48106,-0.00162
-8.8058,-1.2377,229.265,-0.47777,2.48451,0.00114
-8.6821,-1.2779,229.332,-0.47231,2.47599,0.00027
-8.7456,-1.3313,229.462,-0.47898,2.47621,0.0003
-8.7683,-1.2818,229.331,-0.48262,2.47858,0.00103
-8.6837,-1.3627,229.475,-0.47509,2.4663,-0.00275
-8.7056,-1.5023,229.395,-0.48464,2.47292,-0.00057
-8.6967,-1.3804,229.544,-0.47536,2.4663,-0.00407
-8.79,-1.1734,229.337,-0.46974,2.47463,-0.00356
-8.7667,-1.4143,229.415,-0.48303,2.46898,-0.00285
-8.666,-1.5824,229.483,-0.49166,2.46329,-0.00381
-8.8591,-1.2994,229.343,-0.48444,2.47851,-0.00354
-8.7962,-1.2332,229.434,-0.4769,2.46979,-0.00535
-8.7471,-1.3829,229.394,-0.47773,2.46775,-0.00626
-8.7575,-1.3752,229.484,-0.48161,2.46208,-0.0074
-8.7787,-1.2913,229.398,-0.4763,2.46368,-0.00712
-8.7411,-1.5236,229.454,-0.49205,2.46282,-0.00499
-8.7635,-1.2212,229.36,-0.47534,2.46398,-0.00703
-8.7584,-1.2399,229.439,-0.47219,2.46534,-0.00896
-8.7697,-1.2279,229.362,-0.4704,2.4644,-0.0086
-8.791,-1.198,229.428,-0.46653,2.46878,-0.0097
-8.7945,-1.0786,229.327,-0.46324,2.46811,-0.00929
-8.7656,-1.3327,229.381,-0.48077,2.46156,-0.00721
-8.7353,-1.4006,229.34,-0.47717,2.46594,-0.00821
-8.7974,-1.2257,229.343,-0.47208,2.46761,-0.0079
-8.749,-1.3992,229.457,-0.4801,2.46006,-0.00907
-8.7641,-1.3459,229.405,-0.47573,2.46196,-0.00842
-8.7903,-1.3802,229.468,-0.47811,2.46884,-0.0072
-8.7374,-1.3726,229.45,-0.4775,2.46567,-0.00811
-8.7477,-1.3174,229.499,-0.46894,2.46599,-0.00779
